Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
153,As_Built,3387.218,1_to_3,True,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,516.702,0.819,14.718,6.39,100.828,59.0459,0.0,34.0771,9.4963,33.7973,136.4166
155,Stage_4,2045.532,1_to_3,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,1038.69,0.819,14.718,32.336,33.475,112.0014,0.0,47.7497,56.8672,0.0,216.6183
156,As_Built,12779.032,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,908.192,0.819,14.718,58.206,33.475,131.8906,0.0,32.0916,89.5841,17.911,271.4774
159,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1299.684,0.819,14.718,45.272,33.475,127.6677,0.0,42.0134,70.1634,8.3381,248.1826
161,As_Built,3387.218,1_to_3,False,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Other,1038.69,0.819,14.718,32.336,33.475,97.6454,0.0,15.3851,59.69,0.0,172.7205
163,Stage_4,7412.282,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1299.684,0.819,74.107,6.39,33.475,174.9343,0.0,177.397,15.1463,0.0,367.4775
164,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1038.69,0.819,103.75,19.402,33.475,109.9539,0.0,195.043,34.8009,0.0,339.7977
165,As_Built,2045.532,1_to_3,False,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1038.69,0.819,74.107,19.402,33.475,105.0365,0.0,135.5955,27.5787,0.0,268.2106
166,As_Built,2045.532,4_to_6,True,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,1038.69,0.819,14.718,45.272,33.475,99.3077,0.0,14.3582,74.0904,0.0,187.7564
167,As_Built,4728.906,4_to_6,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,44.464,6.39,33.475,160.0925,0.0,107.4092,0.0,0.0,267.5017
168,Stage_3,3387.218,7_to_10,False,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,908.192,2.47,44.464,6.39,33.475,124.9088,0.0,106.9479,0.123,0.0,231.9798
169,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,908.192,0.819,14.718,45.272,33.475,89.146,0.0,17.9459,77.7714,0.0,184.8633
173,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Other,2082.664,0.819,74.107,6.39,33.475,257.5243,0.0,151.9879,0.0,0.0,409.5122
